cod;nome;período;valor
2909703;Cristópolis;2011;0,00
5204656;Campinaçu;2011;0,00
3135308;Japaraíba;2011;0,00
2105609;Joselândia;2011;0,00
2928950;"São Domingos";2011;0,00
1716109;"Paraíso do Tocantins";2011;9,00
2912509;Ibipitanga;2011;1,00
2906824;Canudos;2011;2,00
4109203;Guaraci;2011;1,00
4315156;Progresso;2011;0,00
2916708;Itaquara;2011;0,00
3502754;Araçariguama;2011;6,00
1501402;Belém;2011;682,00
4315321;Quevedos;2011;2,00
3127057;"Fronteira dos Vales";2011;0,00
3154408;Ressaquinha;2011;0,00
3163706;"São Lourenço";2011;4,00
2302701;"Campos Sales";2011;10,00
2923001;"Nova Viçosa";2011;17,00
3501400;"Álvaro de Carvalho";2011;0,00
2908903;"Coração de Maria";2011;9,00
2301307;Araripe;2011;5,00
2203305;"Demerval Lobão";2011;2,00
4119657;Pitangueiras;2011;0,00
3532504;"Neves Paulista";2011;0,00
2911253;Gavião;2011;1,00
3521804;Itaí;2011;3,00
2915106;Itagi;2011;3,00
2921708;"Morro do Chapéu";2011;1,00
4208450;Itapoá;2011;1,00
2916302;Itapebi;2011;5,00
4113106;Kaloré;2011;0,00
1500701;Anajás;2011;4,00
2405504;"Jardim de Angicos";2011;0,00
2410801;"Riacho de Santana";2011;0,00
1702307;Arapoema;2011;3,00
3516705;Garça;2011;4,00
4314605;Piratini;2011;2,00
3542404;"Regente Feijó";2011;2,00
3545209;Salto;2011;9,00
2504355;Caturité;2011;1,00
4207007;Içara;2011;8,00
2504504;Condado;2011;3,00
2109106;"Presidente Dutra";2011;17,00
4107546;"Espigão Alto do Iguaçu";2011;3,00
2402204;Canguaretama;2011;6,00
2209708;"São Francisco do Piauí";2011;0,00
4304614;"Canudos do Vale";2011;0,00
1702703;"Aurora do Tocantins";2011;0,00
5210802;Itajá;2011;1,00
1713205;"Miracema do Tocantins";2011;5,00
4312708;Nonoai;2011;3,00
3162559;"São João do Manhuaçu";2011;1,00
3101508;"Além Paraíba";2011;2,00
4204103;"Caxambu do Sul";2011;1,00
3542107;Rafard;2011;0,00
2933158;"Várzea Nova";2011;1,00
3550209;"São Miguel Arcanjo";2011;3,00
3158300;"Santana da Vargem";2011;1,00
4211256;"Morro Grande";2011;1,00
3122355;"Divisa Alegre";2011;0,00
3537156;"Pedrinhas Paulista";2011;0,00
4209854;"Lindóia do Sul";2011;0,00
2917102;Itororó;2011;9,00
4117008;"Nova Fátima";2011;1,00
2610905;Pesqueira;2011;31,00
3549953;"São Lourenço da Serra";2011;1,00
2907301;"Castro Alves";2011;4,00
4216503;"São Joaquim";2011;1,00
3168101;Tapira;2011;0,00
4312906;"Nova Bassano";2011;1,00
2604205;Catende;2011;9,00
2302107;Baturité;2011;5,00
1503408;Inhangapi;2011;1,00
2402600;Ceará-Mirim;2011;21,00
4312617;"Muitos Capões";2011;0,00
5107701;"Rosário Oeste";2011;0,00
5200134;Acreúna;2011;1,00
4315073;"Porto Vera Cruz";2011;0,00
1720499;"São Valério da Natividade";2011;0,00
4209508;Laurentino;2011;0,00
3159605;"Santa Rita do Sapucaí";2011;2,00
3522000;Itaju;2011;0,00
3512209;Conchal;2011;2,00
5208608;Goianésia;2011;14,00
3528007;Macatuba;2011;0,00
2102309;"Buriti Bravo";2011;3,00
2602407;Brejão;2011;0,00
3526209;Juquitiba;2011;20,00
3119708;"Coronel Xavier Chaves";2011;0,00
4206751;Ibiam;2011;0,00
4106456;"Coronel Domingos Soares";2011;3,00
4118907;Pérola;2011;6,00
1502608;Colares;2011;1,00
2927408;Salvador;2011;1650,00
5107883;"Serra Nova Dourada";2011;0,00
2306009;Iracema;2011;4,00
2407005;"Luís Gomes";2011;1,00
4209706;"Lebon Régis";2011;1,00
4309100;Gramado;2011;2,00
3301207;Carmo;2011;1,00
4122602;Rondon;2011;5,00
3169406;"Três Pontas";2011;2,00
2930154;"Serra do Ramalho";2011;3,00
3117108;"Conceição da Aparecida";2011;1,00
2204907;"Isaías Coelho";2011;0,00
2931103;Tanquinho;2011;2,00
1713304;Miranorte;2011;5,00
2112100;Timbiras;2011;1,00
5106752;"Pontes e Lacerda";2011;18,00
1705557;Combinado;2011;1,00
2200707;"Anísio de Abreu";2011;0,00
3546207;"Santa Cruz da Conceição";2011;0,00
3519501;Ibirarema;2011;1,00
2210201;"São José do Piauí";2011;0,00
3147105;"Pará de Minas";2011;10,00
2513943;"São Domingos do Cariri";2011;0,00
4125001;"São João do Ivaí";2011;5,00
3531902;"Morro Agudo";2011;2,00
4317103;"Sant' Ana do Livramento";2011;6,00
2707701;"Rio Largo";2011;68,00
3536307;"Patrocínio Paulista";2011;2,00
3544400;Rubiácea;2011;0,00
3538303;Piquerobi;2011;0,00
1600212;Cutias;2011;2,00
5002605;Camapuã;2011;1,00
5215504;Ouvidor;2011;1,00
3123700;"Engenheiro Caldas";2011;5,00
5221577;Uirapuru;2011;1,00
2502052;"Bernardino Batista";2011;0,00
4123709;"Santa Isabel do Ivaí";2011;0,00
2927804;"Santa Cruz da Vitória";2011;2,00
3556503;"Várzea Paulista";2011;13,00
3528601;Manduri;2011;0,00
2512408;Puxinanã;2011;1,00
3149101;Pedralva;2011;1,00
3118502;Consolação;2011;0,00
3538204;Pinhalzinho;2011;0,00
5104500;Indiavaí;2011;0,00
3529708;Miguelópolis;2011;1,00
3501905;Amparo;2011;7,00
2307809;Marco;2011;2,00
3122207;"Divinolândia de Minas";2011;2,00
4320404;"Serafina Corrêa";2011;0,00
3519204;Iacri;2011;1,00
3529906;Miracatu;2011;5,00
2411056;Tibau;2011;2,00
4305900;"Coronel Bicaco";2011;1,00
4209300;Lages;2011;22,00
1504901;Muaná;2011;3,00
3127404;Gonçalves;2011;0,00
3129400;Ibertioga;2011;0,00
4313011;"Nova Candelária";2011;0,00
3145851;Oratórios;2011;1,00
1718907;"Santa Rosa do Tocantins";2011;0,00
5220009;"São João d'Aliança";2011;2,00
3102605;Andradas;2011;2,00
2608305;Jupi;2011;6,00
5006275;"Paraíso das Águas";2011;0,00
4115457;Marquinho;2011;1,00
3145059;"Nova Porteirinha";2011;7,00
1716505;"Pedro Afonso";2011;1,00
5211206;Itapuranga;2011;2,00
2913804;Ipecaetá;2011;2,00
2200251;"Alagoinha do Piauí";2011;0,00
1703008;Babaçulândia;2011;3,00
5102793;Carlinda;2011;1,00
3304557;"Rio de Janeiro";2011;1488,00
1703305;"Bom Jesus do Tocantins";2011;2,00
3150703;Pirajuba;2011;0,00
2906501;Candeias;2011;56,00
5103437;Curvelândia;2011;0,00
2208809;Regeneração;2011;1,00
2207306;"Paes Landim";2011;0,00
5209606;Heitoraí;2011;1,00
2915908;Itanagra;2011;1,00
2514305;"São José de Caiana";2011;1,00
4310876;Jacuizinho;2011;0,00
1506138;Redenção;2011;32,00
2807303;Telha;2011;0,00
3509601;"Campo Limpo Paulista";2011;13,00
2209971;"São João do Arraial";2011;1,00
3203353;Marilândia;2011;0,00
3132008;Itacambira;2011;0,00
4103008;"Boa Esperança";2011;1,00
4311502;"Lavras do Sul";2011;1,00
1706100;Cristalândia;2011;1,00
4201604;"Arroio Trinta";2011;0,00
3303955;Pinheiral;2011;3,00
4315057;"Porto Mauá";2011;0,00
5007307;"Rio Negro";2011;0,00
3164308;"São Roque de Minas";2011;0,00
2409308;Patu;2011;3,00
4301206;"Arroio do Tigre";2011;7,00
3155801;"Rio Pomba";2011;2,00
3530102;Mirandópolis;2011;2,00
2102903;Carutapera;2011;0,00
3168804;Tiradentes;2011;0,00
5208152;"Gameleira de Goiás";2011;0,00
2505204;Cuitegi;2011;1,00
3555802;Urânia;2011;2,00
3507001;Boituva;2011;5,00
1715507;"Oliveira de Fátima";2011;0,00
2104404;"Gonçalves Dias";2011;1,00
3123304;"Dores do Turvo";2011;2,00
1504455;Medicilândia;2011;8,00
4213401;"Ponte Serrada";2011;0,00
2920304;"Malhada de Pedras";2011;0,00
3147006;Paracatu;2011;21,00
1720200;"São Miguel do Tocantins";2011;3,00
3555406;Ubatuba;2011;17,00
5207808;Firminópolis;2011;1,00
4112108;"Jandaia do Sul";2011;3,00
3170503;Urucânia;2011;2,00
2207900;"Pedro II";2011;1,00
3303609;Paracambi;2011;3,00
4217204;"São Miguel do Oeste";2011;4,00
2304608;"General Sampaio";2011;3,00
3102506;"Amparo do Serra";2011;0,00
2103125;"Central do Maranhão";2011;0,00
1300102;Anori;2011;3,00
4323804;Xangri-lá;2011;1,00
2107605;Palmeirândia;2011;6,00
4107553;Farol;2011;0,00
4127106;"Telêmaco Borba";2011;21,00
4209151;"José Boiteux";2011;0,00
2104073;"Feira Nova do Maranhão";2011;0,00
3119500;"Coronel Murta";2011;1,00
4207858;Irati;2011;0,00
4211702;Orleans;2011;0,00
3159704;"Santa Rosa da Serra";2011;0,00
2202752;"Colônia do Gurguéia";2011;0,00
4103503;Califórnia;2011;3,00
5212600;Mairipotaba;2011;0,00
4301651;Barão;2011;1,00
1718303;"Praia Norte";2011;1,00
3523909;Itu;2011;31,00
5203401;"Bom Jardim de Goiás";2011;2,00
2100204;Alcântara;2011;3,00
2906873;"Capim Grosso";2011;14,00
3544905;"Sales Oliveira";2011;1,00
2411106;"Ruy Barbosa";2011;1,00
4218905;Urubici;2011;2,00
3502200;Angatuba;2011;2,00
3154606;"Ribeirão das Neves";2011;147,00
4302659;Brochier;2011;0,00
2206308;"Miguel Leão";2011;1,00
2906006;"Campo Formoso";2011;8,00
2801108;Canhoba;2011;0,00
1505304;Oriximiná;2011;2,00
2600203;Afrânio;2011;6,00
2610004;Palmares;2011;21,00
1720804;"Sítio Novo do Tocantins";2011;1,00
1304302;Urucará;2011;2,00
4110904;Itaguajé;2011;0,00
3515707;"Ferraz de Vasconcelos";2011;22,00
3156304;Rodeiro;2011;0,00
5204003;Cabeceiras;2011;1,00
5203203;"Barro Alto";2011;2,00
2210003;"São João do Piauí";2011;1,00
2509602;"Monte Horebe";2011;0,00
1718204;"Porto Nacional";2011;25,00
3146255;"Padre Carvalho";2011;0,00
2509107;Mari;2011;16,00
3304128;Quatis;2011;1,00
2502607;Igaracy;2011;0,00
1721000;Palmas;2011;63,00
3134806;Jacuí;2011;0,00
4115606;Matelândia;2011;11,00
2609709;Orobó;2011;4,00
3527603;"Luís Antônio";2011;1,00
4202438;"Bocaina do Sul";2011;1,00
3503950;Aspásia;2011;0,00
2903607;Biritinga;2011;0,00
2927705;"Santa Cruz Cabrália";2011;13,00
2614600;Tabira;2011;7,00
2611804;Ribeirão;2011;14,00
4201406;Araranguá;2011;3,00
3142106;Miradouro;2011;2,00
5212055;Jesúpolis;2011;0,00
4307500;Espumoso;2011;2,00
1100031;Cabixi;2011;0,00
2914604;Irecê;2011;29,00
3169505;Tumiritinga;2011;4,00
2200806;"Antônio Almeida";2011;0,00
3138609;"Lima Duarte";2011;0,00
2105989;"Lajeado Novo";2011;0,00
3511300;Cedral;2011;0,00
5212907;Marzagão;2011;1,00
2512077;"Poço de José de Moura";2011;0,00
1501758;"Brejo Grande do Araguaia";2011;4,00
2910776;"Feira da Mata";2011;1,00
3154903;"Rio Casca";2011;2,00
2929354;"São José da Vitória";2011;3,00
4317707;"Santo Antônio das Missões";2011;3,00
5207535;Faina;2011;1,00
4307906;Farroupilha;2011;9,00
3522109;Itanhaém;2011;13,00
5000708;Anastácio;2011;4,00
2900900;Almadina;2011;1,00
3536505;Paulínia;2011;11,00
3135001;Jaguaraçu;2011;1,00
4103107;"Bocaiúva do Sul";2011;3,00
5102850;Castanheira;2011;3,00
2703601;Japaratinga;2011;2,00
3514205;Dolcinópolis;2011;0,00
5105176;Juruena;2011;2,00
2706802;Piaçabuçu;2011;12,00
1502103;Cametá;2011;14,00
4323606;"Vista Alegre do Prata";2011;0,00
5001102;Aquidauana;2011;13,00
1702158;Araguanã;2011;2,00
3103009;"Antônio Dias";2011;2,00
3171071;Veredinha;2011;0,00
4311106;Jaguari;2011;1,00
1300805;Borba;2011;5,00
4314423;"Picada Café";2011;0,00
3102407;"Alvorada de Minas";2011;1,00
3507407;Borborema;2011;0,00
