cod;nome;período;valor
2109759;"Santa Filomena do Maranhão";2011;0,00
2109700;Sambaíba;2011;0,00
2109551;"Ribamar Fiquene";2011;0,00
2109502;Riachão;2011;0,00
2106672;"Milagres do Maranhão";2011;0,00
2106409;"Mata Roma";2011;0,00
2106359;"Marajá do Sena";2011;0,00
2106201;"Luís Domingues";2011;0,00
2105989;"Lajeado Novo";2011;0,00
2105963;"Lagoa Grande do Maranhão";2011;0,00
2105948;"Lago dos Rodrigues";2011;0,00
2105922;"Lagoa do Mato";2011;0,00
2105906;"Lago Verde";2011;0,00
2105807;"Lago do Junco";2011;0,00
2105609;Joselândia;2011;0,00
2103158;"Centro do Guilherme";2011;0,00
2103125;"Central do Maranhão";2011;0,00
2102903;Carutapera;2011;0,00
2102374;"Cachoeira Grande";2011;0,00
1720002;"Santa Terezinha do Tocantins";2011;0,00
1719004;"Santa Tereza do Tocantins";2011;0,00
1718907;"Santa Rosa do Tocantins";2011;0,00
1718899;"Santa Rita do Tocantins";2011;0,00
1718840;Sandolândia;2011;0,00
1718808;Sampaio;2011;0,00
1717503;Pium;2011;0,00
1715705;Palmeirante;2011;0,00
1715507;"Oliveira de Fátima";2011;0,00
1714203;Natividade;2011;0,00
1713957;Muricilândia;2011;0,00
1713700;"Monte Santo do Tocantins";2011;0,00
1704600;"Chapada de Areia";2011;0,00
1704105;Centenário;2011;0,00
1703883;Carmolândia;2011;0,00
1703057;"Bandeirantes do Tocantins";2011;0,00
1702703;"Aurora do Tocantins";2011;0,00
1701903;Araguacema;2011;0,00
1701002;Ananás;2011;0,00
1700350;"Aliança do Tocantins";2011;0,00
1700251;Abreulândia;2011;0,00
1600808;"Vitória do Jari";2011;0,00
1506401;"Santa Cruz do Arari";2011;0,00
1503101;Gurupá;2011;0,00
1503002;Faro;2011;0,00
1502855;Curuá;2011;0,00
1501600;Bonito;2011;0,00
1501451;Belterra;2011;0,00
1400506;"São João da Baliza";2011;0,00
1303007;Nhamundá;2011;0,00
1301951;Itamarati;2011;0,00
1301803;Ipixuna;2011;0,00
1301159;"Careiro da Várzea";2011;0,00
1300680;"Boa Vista do Ramos";2011;0,00
1300060;Amaturá;2011;0,00
1300029;Alvarães;2011;0,00
1200435;"Santa Rosa do Purus";2011;0,00
1200328;Jordão;2011;0,00
4213302;"Ponte Alta";2011;20,23
4212908;Pinhalzinho;2011;5,88
4212809;"Balneário Piçarras";2011;11,11
4212502;Penha;2011;7,60
4212304;"Paulo Lopes";2011;29,07
4212205;Papanduva;2011;10,91
4212106;Palmitos;2011;6,14
4212007;"Palma Sola";2011;12,75
4211900;Palhoça;2011;19,56
4211751;"Otacílio Costa";2011;5,94
4211603;"Nova Veneza";2011;7,29
4211306;Navegantes;2011;29,81
4211256;"Morro Grande";2011;34,09
4211108;"Monte Castelo";2011;35,38
4211009;Mondaí;2011;9,48
4210605;Massaranduba;2011;6,61
4210506;Maravilha;2011;4,38
4210209;"Major Gercino";2011;0,00
4210100;Mafra;2011;12,95
4210050;Macieira;2011;0,00
4210035;Luzerna;2011;0,00
4210001;"Luiz Alves";2011;9,21
4209904;Lontras;2011;28,29
4209854;"Lindóia do Sul";2011;0,00
4209805;"Leoberto Leal";2011;0,00
4209706;"Lebon Régis";2011;8,30
4209607;"Lauro Muller";2011;6,81
4209508;Laurentino;2011;0,00
4209458;"Lajeado Grande";2011;66,45
4209409;Laguna;2011;15,15
4209300;Lages;2011;13,82
4209201;Lacerdópolis;2011;0,00
4209177;Jupiá;2011;0,00
4209102;Joinville;2011;13,37
4209003;Joaçaba;2011;7,20
4208906;"Jaraguá do Sul";2011;6,71
4208708;"Jacinto Machado";2011;9,30
4208500;Ituporanga;2011;17,47
4208450;Itapoá;2011;6,40
4208302;Itapema;2011;26,75
4208203;Itajaí;2011;28,41
4208104;Itaiópolis;2011;33,73
4208005;Itá;2011;15,40
4207908;Irineópolis;2011;18,71
4207809;Irani;2011;10,24
4207759;Iraceminha;2011;23,33
4207700;Ipumirim;2011;27,14
4207577;Iomerê;2011;0,00
4207502;Indaial;2011;5,24
4207403;Imbuia;2011;17,10
4207304;Imbituba;2011;7,27
4207106;Ilhota;2011;23,55
4207007;Içara;2011;13,15
4206900;Ibirama;2011;11,26
2513984;"São Francisco";2011;0,00
2514008;"São João do Cariri";2011;0,00
3128808;Guidoval;2011;0,00
3129103;Gurinhatã;2011;0,00
3129202;Heliodora;2011;0,00
3129400;Ibertioga;2011;0,00
3130655;Indaiabira;2011;0,00
3156007;"Rio Vermelho";2011;0,00
3156106;Ritápolis;2011;0,00
3156205;"Rochedo de Minas";2011;0,00
3156304;Rodeiro;2011;0,00
3156403;Romaria;2011;0,00
4206603;"Guarujá do Sul";2011;19,96
4206504;Guaramirim;2011;10,89
4206306;Guabiruba;2011;10,37
4206207;Gravatal;2011;18,37
4205902;Gaspar;2011;6,65
4205803;Garuva;2011;13,03
4205605;Galvão;2011;29,00
4205506;Fraiburgo;2011;11,34
4205456;Forquilhinha;2011;4,28
4205407;Florianópolis;2011;19,03
3156809;Sabinópolis;2011;0,00
3157104;"Salto da Divisa";2011;0,00
3157278;"Santa Bárbara do Monte Verde";2011;0,00
3157302;"Santa Bárbara do Tugúrio";2011;0,00
3163904;"São Pedro da União";2011;0,00
3164001;"São Pedro dos Ferros";2011;0,00
3164308;"São Roque de Minas";2011;0,00
4205357;"Flor do Sertão";2011;62,07
4205001;"Dionísio Cerqueira";2011;26,48
4204806;Curitibanos;2011;18,17
4204608;Criciúma;2011;15,18
4204558;"Correia Pinto";2011;13,52
4204509;Corupá;2011;7,00
4204400;"Coronel Freitas";2011;9,67
3164431;"São Sebastião da Vargem Alegre";2011;0,00
3164472;"São Sebastião do Anta";2011;0,00
3164605;"São Sebastião do Oeste";2011;0,00
3164803;"São Sebastião do Rio Preto";2011;0,00
3165008;"São Tiago";2011;0,00
3165107;"São Tomás de Aquino";2011;0,00
3165206;"São Thomé das Letras";2011;0,00
3172103;"Volta Grande";2011;0,00
3172202;"Wenceslau Braz";2011;0,00
4322905;Viadutos;2011;0,00
5214705;"Nova América";2011;0,00
5214804;"Nova Aurora";2011;0,00
5214838;"Nova Crixás";2011;0,00
4204350;"Cordilheira Alta";2011;25,66
4204301;Concórdia;2011;8,53
4204251;"Cocal do Sul";2011;6,43
4204202;Chapecó;2011;29,43
4204178;"Cerro Negro";2011;27,89
4204103;"Caxambu do Sul";2011;22,76
4203956;"Capivari de Baixo";2011;17,90
4203907;Capinzal;2011;4,69
4203808;Canoinhas;2011;14,89
4203709;Canelinha;2011;9,14
4203600;"Campos Novos";2011;29,68
4203501;"Campo Erê";2011;10,62
4203402;"Campo Belo do Sul";2011;13,26
4203303;"Campo Alegre";2011;0,00
4203253;"Capão Alto";2011;36,11
4203204;Camboriú;2011;41,20
4203154;Calmon;2011;0,00
4203105;Caibi;2011;0,00
4203006;Caçador;2011;8,26
4202909;Brusque;2011;2,72
4202875;Brunópolis;2011;0,00
4202859;"Braço do Trombudo";2011;0,00
4202800;"Braço do Norte";2011;20,04
4202701;Botuverá;2011;0,00
4202602;"Bom Retiro";2011;0,00
4202578;"Bom Jesus do Oeste";2011;0,00
4202537;"Bom Jesus";2011;0,00
4202503;"Bom Jardim da Serra";2011;0,00
4202453;Bombinhas;2011;6,62
4202438;"Bocaina do Sul";2011;29,77
4202404;Blumenau;2011;9,41
4202305;Biguaçu;2011;11,63
4202206;"Benedito Novo";2011;9,40
4202107;"Barra Velha";2011;25,58
4202057;"Balneário Barra do Sul";2011;22,69
4202008;"Balneário Camboriú";2011;9,70
4201901;Aurora;2011;17,71
4201703;Ascurra;2011;0,00
4201653;Arvoredo;2011;0,00
5215256;"Novo Planalto";2011;0,00
5215405;"Ouro Verde de Goiás";2011;0,00
5212501;Luziânia;2011;95,52
5212303;"Leopoldo de Bulhões";2011;24,91
5212204;Jussara;2011;30,95
5212105;Joviânia;2011;27,54
5211909;Jataí;2011;26,41
5211800;Jaraguá;2011;29,88
5211701;Jandaia;2011;48,01
5211503;Itumbiara;2011;29,26
5211305;Itarumã;2011;30,77
5211206;Itapuranga;2011;7,55
5210901;Itapaci;2011;31,15
5210802;Itajá;2011;19,67
5210604;Itaguaru;2011;18,18
5210406;Itaberaí;2011;8,16
5210307;Israelândia;2011;34,21
5210208;Iporá;2011;12,58
5210109;Ipameri;2011;15,76
5210000;Inhumas;2011;34,32
5209952;Indiara;2011;21,24
5209903;Iaciara;2011;23,44
5209705;Hidrolândia;2011;27,53
5209606;Heitoraí;2011;27,43
5209200;Guapó;2011;35,15
5209150;Gouvelândia;2011;19,47
5209101;Goiatuba;2011;36,15
5208905;Goiás;2011;8,04
5208806;Goianira;2011;55,93
5208707;Goiânia;2011;39,79
5208608;Goianésia;2011;22,70
5208509;Goiandira;2011;18,56
5208301;"Divinópolis de Goiás";2011;39,82
5208004;Formosa;2011;53,79
5207907;"Flores de Goiás";2011;39,17
4201406;Araranguá;2011;4,76
4201307;Araquari;2011;41,31
4201257;Apiúna;2011;30,40
4200408;"Água Doce";2011;14,11
4200101;"Abelardo Luz";2011;28,67
4128807;Xambrê;2011;98,64
4128633;"Doutor Ulysses";2011;34,41
4128625;"Alto Paraíso";2011;62,25
4128559;"Vera Cruz do Oeste";2011;22,02
5207808;Firminópolis;2011;8,36
5207600;"Fazenda Nova";2011;31,52
5207535;Faina;2011;14,17
5207402;Edéia;2011;8,64
5207253;Doverlândia;2011;37,72
5207105;Diorama;2011;39,70
5206701;Damianópolis;2011;29,89
5206602;Cumari;2011;33,34
5206404;Crixás;2011;18,58
5206305;Cristianópolis;2011;33,52
5206206;Cristalina;2011;55,42
5205901;Corumbaíba;2011;11,79
5205802;"Corumbá de Goiás";2011;9,43
5205521;"Colinas do Sul";2011;56,13
5205513;"Cocalzinho de Goiás";2011;38,88
5205497;"Cidade Ocidental";2011;70,03
5205471;"Chapadão do Céu";2011;53,55
5205109;Catalão;2011;12,15
4128534;Ventania;2011;9,67
4128500;"Wenceslau Braz";2011;10,18
4128401;Uraí;2011;17,15
4128302;Uniflor;2011;39,60
4128203;"União da Vitória";2011;18,45
4128104;Umuarama;2011;28,94
4128005;Ubiratã;2011;9,14
4127965;Turvo;2011;42,97
5205059;Castelândia;2011;27,23
5204953;"Campos Verdes";2011;41,88
5204904;"Campos Belos";2011;5,30
5204805;"Campo Alegre de Goiás";2011;47,40
5204508;"Caldas Novas";2011;33,82
5204409;Caiapônia;2011;34,75
5204300;Caçu;2011;7,25
5204250;"Cachoeira Dourada";2011;23,91
5204003;Cabeceiras;2011;13,26
5203906;"Buriti Alegre";2011;21,64
5203559;Bonfinópolis;2011;50,63
5203500;"Bom Jesus de Goiás";2011;37,10
4127908;"Tuneiras do Oeste";2011;33,95
4127858;"Três Barras do Paraná";2011;33,17
4127700;Toledo;2011;23,43
4127601;"Tijucas do Sul";2011;19,93
4127502;Tibagi;2011;25,23
4127403;"Terra Roxa";2011;29,18
4127304;"Terra Rica";2011;19,15
4127205;"Terra Boa";2011;6,17
4127106;"Telêmaco Borba";2011;29,12
4126801;Tapejara;2011;26,61
4126702;Tamboara;2011;20,85
4126678;Tamarana;2011;31,36
5203401;"Bom Jardim de Goiás";2011;23,24
5204102;"Cachoeira Alta";2011;0,00
5203807;Britânia;2011;0,00
5203609;Brazabrantes;2011;0,00
5203575;Bonópolis;2011;0,00
5203104;Baliza;2011;0,00
5202601;Aurilândia;2011;0,00
5202353;Arenópolis;2011;0,00
5202155;Araguapaz;2011;0,00
5201603;Araçu;2011;0,00
5201454;"Aparecida do Rio Doce";2011;0,00
